name,customer,city,id,state,country,lat,long,coords exact,manufacturer,type,cells,status,date first heard,start construction,start operation,no of megapacks,no of powerpacks,capacity mwh,power mw,use case,project website,link1,link2,link3,notes
Moss Landing,Vistra Corp,Moss Landing,501,california,usa,36.806072,-121.782258,1,LG,,LG,operation,,,2021-02-24,,,1600,400,,https://www.vistracorp.com/vistra-zero/,https://www.energy-storage.news/manufacturer-reveals-involvement-in-worlds-biggest-battery-energy-storage-system-so-far/,https://insideevs.com/news/489894/vistra-moss-landing-energy-storage-world-largest/,,"TR1200 rack design with JH4 cell, 4500+ racks, two stages here"
Docordova,Vistra Corp,Hood County,502,texas,usa,32.430077,-97.695028,0,,,,planning,2021-01-09,,,,,260,260,,https://www.vistracorp.com/vistra-zero/,https://urjadaily.com/vistra-brings-worlds-largest-utility-scale-battery-energy-storage-system-online/,,,should go online in 2022
Oakland,Vistra Corp,Oakland,503,california,usa,37.79422,-122.20837,0,,,,planning,2021-01-09,,,,,36,145,,https://www.vistracorp.com/vistra-zero/,,,,should go online in 2022
Upton 2,Vistra Corp,Upton County,504,texas,usa,31.255119,-102.246596,0,,,,operation,,,2018-12-31,,,10,42,180MW solar farm support,https://www.vistracorp.com/vistra-zero/,https://www.energy-storage.news/us-utility-vistra-plans-texas-solar-storage-facilities-alongside-6-8gw-of-coal-retirement-by-2027/,https://www.luminant.com/upton-2-solar-power-plant-energy-storage-facility/,,
Morro Bay,Vistra Corp,Morro Bay,505,california,usa,35.374224,-120.858684,1,,,,planning,2021-02-15,,,,,2400,600,,,https://www.energy-storage.news/vistra-proposes-california-battery-project-twice-the-size-of-worlds-largest-facility-to-date/,http://www.morrobayca.gov/documentcenter/view/15093,,"revitalise existing gas power plant site, start construction in 2022 should take 36-48 month to complete"
Big Star,RWE Renewables,Bastrop County,506,texas,usa,29.913908,-97.289792,0,LG,,,planning,2021-09-01,,,,,120,80,200MW solar farm support,,https://www.energy-storage.news/rwe-signs-up-corporate-offtaker-for-big-star-texas-solar-plus-storage-project/,https://www.rwe.com/en/press/rwe-renewables/2021-08-25-rwe-teams-up-with-constellation-to-supply-major-us-commercial-customers-with-solar-energy-from-big-star-facility,,
Hickory Park,RWE Renewables,Mitchell County,507,georgia,usa,31.31621,-84.124752,0,Wärtsilä Energy,GridSolv Quantum,,construction,,2020-11-17,,,,80,40,200MW solar farm support,,https://www.energy-storage.news/lg-energy-solution-supplying-800mwh-battery-storage-for-rwes-us-solar-plus-storage-projects/,https://www.rwe.com/en/press/rwe-renewables/2020-11-17-rwes-hickory-park-solar-project-with-co-located-storage-facility-under-construction,,30 year PPA with Georgia Power
Hubei Flow Battery,Hubei Pingfan Ruifeng New Energy Technology,Xiangyang,508,hubei,china,32.075783,112.145275,0,VRB Energy,,,construction,,2021-05-21,,,,500,100,500MW rooftop solar support,,https://www.energy-storage.news/vrb-energy-breaks-ground-on-100mw-500mwh-flow-battery-and-gigafactory-in-china/,https://vrbenergy.com/vrb-energy-announces-agreement-for-chinas-largest-solar-battery-a-100mw-solar-storage-project-in-hubei-province/,,"Vanadium flow battery, built in phases"
Riverina / Darlington Point Solar Farm,Edify Energy / Shell,Darlington Point,509,new south wales,australia,-34.646927,146.03516,1,,,,planning,2021-05-25,,,,,200,100,333MW solar farm support,https://edifyenergy.com/project/riverina/,https://edifyenergy.com/uncategorised/darlington-point-big-battery-for-shell-and-edify-energy-the-australian-perry-williams/,https://www.power-technology.com/news/edify-shell-riverina-energy-storage/,,should go online in early 2023
Alamitos,Southern California Edison (SCE),Long Beach / Los Angeles,510,california,usa,33.770365,-118.101597,1,fluence,Advancion 5,,operation,,2019-06-01,2021-01-27,,,400,100,"gas peaker plant replacement, 20 year ppa",,https://blog.fluenceenergy.com/aes-fluence-commission-alamitos-energy-storage-facility-long-beach-california,https://blog.fluenceenergy.com/fluence-aes-alamitos-battery-energy-storage-system-made-history,https://www.energy-storage.news/battery-storage-as-peaking-capacity-how-alamitos-changed-the-game-for-california/,
Diablo,LS Power / PG & E,Pittsburg,511,california,usa,38.015262,-121.846146,0,,,,construction,,2020-10-30,,,,800,200,,,https://www.energy-storage.news/direct-energy-business-to-use-some-of-worlds-biggest-battery-projects-to-serve-california-customers/,https://www.lspower.com/project-map/,https://www.tdworld.com/distributed-energy-resources/energy-storage/article/21131879/pge-poised-to-expand-battery-energy-storage-capacity-by-more-than-420-mw,
Gateway ,LS Power,East Otey Mesa / San Diego,512,california,usa,32.570558,-116.910955,1,,,LG,operation,,2019-09-01,2020-08-01,,,250,250,,,https://www.lspower.com/project-map/,https://vimeo.com/429223580,https://en.wikipedia.org/wiki/Gateway_Energy_Storage,
Vista,LS Power,Vista,513,california,usa,33.20395,-117.253731,0,,,,operation,,,2018-07-01,,,,40,,,https://www.lspower.com/project-map/,https://www.mapsearch.com/power-plant/vista-energy-storage-system/,,no source about the capacity
LeConte,LS Power,Calexico / Imperial County,514,california,usa,32.67641,-115.670255,1,,,,planning,2019-07-12,,,,,,125,,,https://www.lspower.com/project-map/,https://ceqanet.opr.ca.gov/2010111056/7,,planning doc is available
Ravenswood,LS Power,Long Island City / Queens,515,new york,usa,40.761642,-73.944275,1,,,,planning,2019-02-01,,,,,2528,316,,,https://www.lspower.com/project-map/,http://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7B4A8305F4-BECF-46EE-B493-A088AA7AA8F6%7D&usg=AOvVaw2Yrkm30CAqrxvAShHegBAw,https://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/lacking-contract-ls-power-delays-major-battery-storage-station-in-ny-62467197,planning doc is available ** 2021-02-03: project could be delayed until 2024 
Korea Zinc,Korea Zinc,ulsan,516,,korea,35.430406,129.340086,0,hyundai ,,,operation,2017-07-27,,2018-01-01,,,150,32.5,,,https://pulsenews.co.kr/view.php?year=2017&no=505105,https://en.wikipedia.org/wiki/Battery_storage_power_station#cite_note-hei-78,https://www.koreazinc.co.kr/english/company/page/headOffice.aspx,
Seosan,,seosan,517,,korea,36.636988,126.363673,1,hyundai ,,,operation,,,2018-12-01,,,140,52,65MW solar farm support,,https://en.wikipedia.org/wiki/Battery_storage_power_station,,,
Solaseado,Kospo,Haenam County,518,jeolla,korea,34.709899,126.41275,1,hyundai ,,,operation,,,2020-04-10,,,305,72,98MW solar farm support,,https://krenewables.com/solar/kospo-ignites-koreas-biggest-pv-farm/,https://en.wikipedia.org/wiki/Battery_storage_power_station#cite_note-hei-78,,not sure whether Solaseado  or Solasido is correct spelling
Minety,Penso Power / China Huaneng Group / CNIC,Minety,519,,uk,51.605997,-2.003146,1,sungrow,,"LFP CATL, NMC Samsung",operation,,2019-12-01,2020-12-01,,,133,100,,https://www.pensopower.com/,https://en.wikipedia.org/wiki/Battery_storage_power_station#cite_note-nsenergy-minety-55,https://www.energy-storage.news/what-we-know-about-europes-largest-grid-connected-battery-project-so-far/,https://eclipsepower.co.uk/project/minety-battery-storage/,"PPA from shell, when second stage is complete it will be 150MW/266MWh"
Yorkshire,,yorkshire,520,,uk,53.949604,-1.190935,0,sungrow,,,operation,,,2019-12-01,,,30,27.5,34MW solar farm support,,https://www.pv-tech.org/industry-updates/yorkshire-uk-europes-largest-unsubsidized-solar-plus-storage-project/,,,
Gateway Energy Project,Intergen,London Gateway port/ essex,521,,uk,51.512649,0.493992,1,fluence,Gridstack,,planning,2020-11-30,,,,,640,320,,https://www.intergen.com/our-technologies/development-projects/gateway-energy-centre/,https://www.solarpowerportal.co.uk/news/intergen_unveil_uks_largest_battery_storage_project_with_320mw_essex_projec,,,should go online in 2024
Spalding,Intergen,spalding,522,,uk,52.805112,-0.133741,0,fluence,,,planning,2020-11-30,,,,,350,170,,https://www.intergen.com/our-technologies/development-projects/spalding-energy-park/,https://www.solarpowerportal.co.uk/news/intergen_unveil_uks_largest_battery_storage_project_with_320mw_essex_projec,,,
Antofagasta,AES Gener,Atacama Desert,523,,chile,-24.014801,-68.58494,0,fluence,Sunstack,,construction,,2020-10-19,,,,560,112,253MW solar farm support,,https://www.energy-storage.news/aes-begins-work-on-560mwh-largest-battery-system-in-latin-america-for-solar-and-wind-in-chile/,https://www.renpp.eu/en/solar-project/andes-solar-park-1018,,
Desert Quartize,EDF / Clean Power Alliance,Riverside County,524,california,usa,33.586379,-114.785106,1,,,,planning,2020-01-15,,,,,600,,300MW solar farm support,,https://eplanning.blm.gov/eplanning-ui/project/68211/570,https://www.blm.gov/press-release/blm-approves-desert-quartzite-solar-project-riverside-county,https://www.energy-storage.news/california-community-group-signs-ppa-for-edfs-300mw-desert-quartzite-solar-plus-storage-project/,should go online in 2024
Rexford 1 Solar,8minute / Clean Power Alliance,Tulare County,525,california,usa,35.853593,-119.051695,1,,,,planning,2020-09-11,,,,,540,180,300MW solar farm support,https://www.8minute.com/energy-storage/,https://www.energy-storage.news/california-community-energy-group-signs-ppa-for-400mw-540mwh-solar-plus-storage-plant/,https://tularecounty.ca.gov/rma/index.cfm/planning-building/environmental-planning/environmental-impact-reports/rexford-solar-project-psp-19-073/,,"should go online in 2023 ** already a large solar farm visible on google maps, but the planning doc shows it will be on new locations between existing solar farm"
Eland Solar,8minute / Capital Dynamics / LADWP,Kern County,526,california,usa,35.198008,-117.991201,1,,,,planning,2020-01-22,,,,,1200,300,400MW solar farm support,,https://www.8minute.com/2020/01/capital-dynamics-and-8minute-solar-energy-partner-on-breakthrough-400mwac-eland-solar-storage-center/,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwix09fvk-vyAhW66uAKHedwDZAQFnoECAYQAQ&url=https%3A%2F%2Feplanning.blm.gov%2Fepl-front-office%2Fprojects%2Fnepa%2F1502112%2F20005846%2F250006857%2FAppendix_C1_Bio_Survey_Report_(1)-min.pdf&usg=AOvVaw3jm8ixiUB8lmbZmltyHkqP,,"location from planning doc ** partially online in 2022, fully in 2023"
